,Assunto/ palavras-chave,Descrição,Identifier,Título
0,1. Em processamento,2 v : il.||Livro - Português,,"Annuario Estatistico do Brazil : (1908-1912) / Ministerio da Agricultura, Industria e Commercio, Directoria Geral de Estatistica."
1,,,,Revista do Livro
2,,247 p.||Livro - Português,,A condição humana e outros temas / Gilberto Freire.
3,1. Em processamento,167 p.||Livro - Português,,O mestre de campo : romance do século dezoito / Afonso Arinos.
4,"1. Acióli, Antônio Pinto Nogueira, 1840-1921 2. Ceará",Charge (Reprodução),,A divisão naval no Ceará (episódio extra-roteiro): / Leônidas.||O Malho
5,,t.1 . 626 p.||Livro - Português,,"Histoire intérieure de Rome : jusqu'a la batalle d'actium, tirée des roemische alterthümer de L. Lange / A. Berthelot et Didier."
6,,273 p. : il.||Livro,,Padre Jesuíno do Monte Carmelo / Mário de Andrade.
7,1. Em processamento,646 p.||Livro - Português,,Os sertões : campanha de Canudos / Euclydes da Cunha.
8,"1. Nabuco, Joaquim, 1849-1910 2. Em processamento",309 p. : il.||Livro - Português,,"Joaquim Nabuco : ""libertador da raça negra"" / Celso Vieira."
9,"1. Fontes, Paulo Martins - Candidatura presidencial - 1919 2. Candidatura presidencial - 1919",Artigo de Periódico - Português,,A jornada do triundo||Diário de Notícias
10,"1. Pena, Afonso, 1847-1909 2. Peçanha, Nilo 1867-1924",Charge (Reprodução),,Ultimo echo do banquete de Bello Horizonte||O Malho
11,1. Literatura infantojuvenil 2. Folclore 3. Brasil,29 p. : il.||Livro infantojuvenil - Português,8528700100,Festas tradicionais brasileiras / Cleonice Rainho ; ilustrações de Ilene Lara.
12,1. Anti-herói,8 p.||Folheto de cordel - Português,,O homem que deu o sangue ao diabo / Custódio Rocha.
13,1. Fundação Casa de Rui Barbosa. Museu 2. Acervo museológico 3. Cachepô 4. Sala Pró-Aliados,01 cromo : color ; 6 x 6 cm.||Documento especial de arquivo,,Organização da Memória Fotográfica
14,1. Literatura infanto juvenil,10p. : il. color.||Livro infantojuvenil - Português,8576611813,O Presépio / Patrícia Amorim; ilustração: Editora Vale das Letras.
15,1. Em processamento,324 p.||Livro - Português,,"História econômica da Primeira República / Organização de Tamás Szmrecsányi, Sérgio S. Silva."
16,"1. Barbosa, Rui 2. Fundação Casa de Rui Barbosa. Museu 3. Abotoadura 4. Campanha eleitoral",01 cromo : color ; 6 x 6 cm.||Documento especial de arquivo,,Organização da Memória Fotográfica
17,,212 p.||Livro - Português,,Poesias lyricas / Luiz Delfino.
18,"1. Lacerda, Carlos, 1914-1977 - Biografia",359 p. : il. ; 21 cm.||Livro - Português,907215,"Carlos Lacerda, o sonhador pragmático : recordações na perspectiva do tempodo líder do Governo na Assembléia Legislativa da Guanabara / Mauro Magalhães."
19,1. Reforma administrativa - Brasil 2. Administração pública,254 p. ; 23 cm.||Livro - Português,9788522508235,Reforma do Estado e contexto brasileiro : crítica do paradigma gerencialista / Frederico Lustosa da Costa.
20,"1. Cervantes Saavedra, Miguel de, 1574-1616. Don Quixote 2. Literatura espanhola - Ensaios, conferências, etc 3. Literatura espanhola - Poesia",5v.||Livro - Espanhol,,Estudios de crítica literaria
21,,15 p.||Folheto de cordel - Português,,Festival no Maranhão / Juvenal Evangelista.
22,1. Literatura - Periódico - Portugal,Periódico - Português,,Bandarra : artes e letras / Ed. A. Bertrand Neves.
23,1. Folha 2. Homem,Documento textual de arquivo,,Folha||Módulo
24,1. Literatura francesa - Prosa,262 p.||Livro - Português,,O abade Constantino / Ludovia Halévy ; trad. de Manoel Pinheiro Chagas.
25,,,,Diário da Bahia
26,"1. Rio Branco, José Maria da Silva Paranhos, Barão do, 1845-1912 2. Cruz, Oswaldo, 1872-1917 3. Candidato 4. Presidente da república 5. Saúde pública 6. Higiene 7. Rio de Janeiro (RJ,BR)",Artigo de Periódico,,[Notas]||O Malho
27,,,,The Times
28,"1. Frontin, Paulo 1860-1933 2. Renovação urbana 3. Rio de Janeiro (BR) 4. Zé Povo",Charge (Reprodução) - Português,,Contraste do prefeito / Rocha.||O Malho
29,,Documento textual de arquivo,,Vida literária
30,,1 doc : Manuscrito.||Documento textual de arquivo,,Henrique IV e Gregório VII
31,1. Encontro da Cultura Brasileira - MINC 2. Cultura,Fita Video VHS.||Documento especial de arquivo,,
32,1. Nota de dedicatória 2. Em processamento,1 v. : il.||Livro - Português,,Poemas coronários / Ciro dos Anjos.
33,1. Higiene pública - Congressos 2. Demografia - Congressos 3. Discursos,128 p.||Livro - Francês,,Discours prononcé a la seánce générale d'ouverture / par M. le professeur Brouardel. Compte rendu des séances par le Dr. Reuss.
34,"1. Toledo, Dionísio",1 doc. : Manuscrito.||Documento textual de arquivo,,
35,,,,
36,,[Sem material definido],,
37,,1 doc : Datilografado com emenda.||Documento textual de arquivo - Português,,Tenho para mim - e a confissão que vou fazer não espanta
38,1. Literatura de cordel brasileira,8 p.||Folheto de cordel - Português,,São Cipriano e a Bruxa Espady / Autor: José Cavalcanti e Ferreira Dila.
39,,,,
40,,,,O Tempo
41,,183 p.||Livro,,Mistérios de São Paulo / Afonso Schmidt.
42,1. Acre (BR) 2. Acre (AC) - História 3. Região Norte - História,142 p. : il.||Livro infantojuvenil - Português,,A epopéia do Acre : batalhas do ouro-negro / Sílvio de Bastos Meira ; ilustrações e capa de Armando Pacheco.
43,1. Paraíba - História,v.||Livro - Português,,História da província da Paraíba / Maximiano Lopes Machado.
44,,,,
45,1. Literatura infantojuvenil 2. Ecologia 3. Brasil 4. Pantanal Mato-grossense (MT e MS),"98, [1].||Livro infantojuvenil - Português",,"Pantanal, amor-baguá / José Hamilton Ribeiro."
46,1. Heroi casal,31 p.||Folheto de cordel - Português,,Romance de José de Sousa Leão / João Ferreira Lima.
47,"1. MOREIRA, Thiers Martins. O Menino e o Palacete",2 docs.||Documento textual de arquivo - Português,,Correspondência - Thiers Martins Moreira
48,,221 p.||Livro - Português,,Panoramas da história / Paulo Henrique.
49,,[Sem material definido],,
50,,16 p. : il.||Folheto de cordel - Português,,"Meia noite no cabarét / João Martins de Athayde, [Leandro Gomes de Barros]."
51,"1. NAVA, Pedro. Poliedro 2. BEYRO FERNANDEZ, Roberto",5 docs : Manuscrito e datilografado.||Documento textual de arquivo - Português,,Correspondência - Pedro Nava
52,1. Em processamento,3 v : il.||Livro - Português,,Pintura en restauro / Domingo I. Tellechea.
53,,,,O Paiz
54,,88 p. : il.||Livro,,Histórias de ventania / Eliane Fonseca ; ilustrações de Maninha Cavalcante.
55,1. Direito penal,vii + 161.||Livro - Francês,,De la responsabilité pénale : des associations
56,1. Estados Unidos - História - 1801-1809 2. Estados Unidos - História - 1809-1817,9 v : il.||Livro - Inglês,,History of the United States of America / Henry Adams.
57,1. Notas de dedicatória 2. Direito penal - Brasil,208p. ; 21cm.||Livro,8502023543,Dos crimes contra os costumes aos crimes contra a administração / Victor Eduardo Rios Gonçalves.
58,1. Imigrante japonês 2. Imigração,Charge (Reprodução) - Português,,Os japonezes no Rio / Storni.||O Malho
59,,Capítulo de livro,,A reforma em projeto : a mobilização do lastro dos bancos - o imposto em oiro - império e república. Sessão em 13 de janeiro de 1892||Discursos parlamentares
60,,17 p.||Folheto de cordel - Português,,O campus Tamandaré / Etiel da Viçosa.
61,1. Educação e arte 2. Projeto educacional e social 3. Cultura brasileira,152 p. : il. ; 24 cm.||Livro infantojuvenil,9788579790140,"Expedições : Rumos Edicação, Cultura e Arte 2008-2010 / Centro de Documentação e Referência Itaú Cultural ; ilustrações de Vânia Medeiros."
62,"1. Barbosa, Rui 2. Centenário de Nascimento de Rui Barbosa - 1949 3. Rio de Janeiro (BR) 4. Translado de Rui Barbosa - Rio de Janeiro",Documento especial de arquivo,,Translado de Rui Barbosa
63,"1. Crítica literária 2. Lebesque, Phileas, 1869-1958 3. Literatura - Historia e Critica",185 p.||Livro - Português,8586020591,Um brasilianista francês : Philéas Lebesgue / Cláudio Veiga ; pref. de Carlos Nejar.
64,,115 p.||Livro,,"Antologia de poetas de Língua Portuguesa / Silvia de Castro, Daniel Diniz."
65,"1. Morny, Charles-Auguste-Louis-Joseph, Duc de, 1811-1865 2. França - História - Segundo império, 1852-1870","x, 366 : il.||Livro - Francês",,Frère d'Empereur : Le Duc de Morny et la société du second empire d'après des papiers de famille et les archives secrètes du Ministère de l'Intérieur / Frédéric Loliée.
66,"1. Balzac, Honoré de, 1799-1850",288 p : il.||Livro - Francês,,Balzac ignoré / D' Cabanès.
67,1. Felicitação 2. Política Baiana - O missivista comunica a sucessão governamental na Bahia,10 documentos ; Médio.||Documento textual de arquivo,,
68,,1 v.||Livro - Português,,O tema é perdão / Walter Siqueira.
69,1. Cidade 2. Vila 3. Vocabulário,Documento textual de arquivo,,Lugares do Brasil||Leitura
70,1. Transportes - embarcações,Documento especial de arquivo,,Veleiro
71,,217 p.||Livro - Português,,Contos fluminenses : contos / Machado de Assis.
72,,"01 p. ; Altura do bule: 0,0223m, Comprimento do bule: 0,215m, Altura da armação: 0,393m, Comporimento da armação: 0,192m, Largura da armação: 0,179m.||Objeto",,Samovar
73,1. Literatura - Periódico - Brasil,Periódico - Português,,Feira Literária
74,1. Impostos - Roma 2. Direito administrativo - França 3. Execuções (Direito civil) - França,204 p.||Livro - Francês,,De la ferme des impots et autres revenus publics : De la contrainte administrative. Thèse pour le doctorat
75,"1. Descartes, René, 1596-1650 2. Ciência - Metodologia 3. Metafísica",222 p : il.||Livro - Francês,,"Descartes : choix de textes avec etude du système philosophique et notices biographique et bibliographique. Pref. de Labescat, agrégé de philosophie / René Descartes."
76,"1. Marx, Karl, 1818-1883 2. Engels, Friedrich, 1820-1895 3. Marxismo",224 p.||Livro - Inglês,,Karl Marx and Friedrich Engels / by D. Riazanov [pseud.].
77,"1. Encadernação - Manuais, guias, etc.",190 p. : il. ; 21 cm.||Livro - Espanhol,,"La encuadernacion al alcance de todos : manual para el aficionado (fácil, entretenido, práctico y de utilidad) / Felipe Parada."
78,"1. Callado, Antonio 2. Espaço urbano",153 f.||Tese - Italiano,,Spazio urbano e metafora silvestre in concerto carioca di Antonio Callado / Barbara De Benedictis.
79,,[Sem material definido],,
80,1. Sobrenatural,24 p.||Folheto de cordel - Português,,História completa de Juvenal e o dragão / João Martins de Athayde.||Historia de Juvenal e o dragão
81,,205 p.||Livro - Português,,O pensamento catolico no Brasil / Antonio Carlos Villaça.
82,1. Em processamento,196 p.||Livro - Português,,O banco de 3 lugares : romance / Maria de Lourdes Teixeira.
83,1. Literatos ingleses 2. Literatos americanos 3. Literatura inglesa,xx + 760 + 46 p : il.||Livro - Inglês,,British classical authors : with biographical notices / L. Herrig. Edited by Max Förster.
84,1. Em processamento,15 p.||Folheto,,"Universidade, cultura e política / Josaphat Marinho."
85,1. Arquivos e educação - Teses 2. Jogos digitais - Teses 3. Jogos educativos - Teses 4. Fundação Casa de Rui Barbosa. Serviço de Arquivo Histórico e Institucional - Teses,153 f : il.||Dissertação de mestrado - Português,(Enc.),"A educação patrimonial com/nos arquivos e o uso de jogos cooperativos on-line : monitoramento e avaliação do módulo educativo do sítio Escravidão, abolição e pós-abolição / Leandro de Abreu Souza Jaccoud; Profa. Dra. Marta Ribeiro Rocha e Silva de Senna (orientadora)."
86,1. Abolicionismo 2. Escravidão,Capítulo de livro,,O dia máximo||Queda do Império : diário de Notícias
87,1. Arianos 2. Civilização - História,"xli, 450 p.||Livro",,Le comte de Gobineau : et l'aryanisme histórique
88,,1 doc : Datilografado.||Documento textual de arquivo,,Eram quatro horas da tarde quando...
89,"1. Nota de dedicatória 2. História de Recife (PE) 3. Viagem - Recife (PB, BR) 4. Recife (PB, BR) - Guia",182 p. : il.||Livro - Português,,"Guia prático, histórico e sentimental da cidade do Recife / Gilberto Freyre ; ilustrações de Luís Jardim."
90,,,,The Weekly Post
91,,[Sem material definido],,
92,1. Nota de dedicatória 2. São Paulo (Estado) - Politica,165 p.||Livro - Português,,A organização politica do Estado de São Paulo e as suas leis constitucionaes
93,1. Literatura francesa - Romance - Século XIX 2. Literatura francesa - Romance - Século XX,Folheto - Francês,,Faux départ / Illustrations de Charles Roussel.
