,Data,Título
0,,Programa 44 - Composições para orquestra
1,,Programa 43 - Marco Alunno
2,,Programa 42 - Trios
3,,Programa 41 - Quarteto Q-Arte
4,,Programa 40 - Luís Moya
5,,Programa 39 - Em torno da percussão
6,,Programa 38 - Alexandre Schubert
7,,Programa 37 - Formas livres
8,,Programa 35 - Quarteto Brasília Sax
9,,Programa 35 - Compositores argentinos
10,,Programa 34 - Semana Santa
11,,Programa 32 - Duo Barrenechea - Parte 1
12,,Programa 33 - Duo Barrenechea - Parte 2
13,,Programa 31 - Retrospectiva
14,,Programa 30 - Retrospectiva
15,07/06/2018,Programa 1
16,,Programa 2 – Espiritualidade
17,,Programa 3
18,28/06/2018,Programa 4 – O imaginário
19,05/07/2018,Programa 5
20,12/07/2018,Programa 6 – Música mista e eletroacústica
21,19/07/2018,Programa 7 – Integrados e convergências
22,26/07/2018,Programa 8
23,02/08/2018,Programa 9 – Sincretismo cultural
24,09/08/2018,Programa 10 – Suíte das Três Máquinas
25,16/08/2018,Programa 11
26,23/08/2018,Programa 12 – Referências barrocas
27,30/08/2018,Programa 13
28,06/09/2018,Programa 14
29,13/09/2018,Programa 15 – Territorialidade
30,20/09/2018,Programa 16
31,27/09/2018,Programa 17 – Formações instrumentais
32,04/10/2018,Programa 18 – Mambo e outras formas
33,11/10/2018,Programa 19
34,18/10/2018,Programa 20 – Q-Arte e outros quartetos
35,25/10/2018,Programa 21
36,01/11/2018,Programa 22
37,08/11/2018,Programa 23 – O silêncio
38,15/11/2018,Programa 24 – Marcos Souza sobre Francisco Mário
39,22/11/2018,Programa 25 – Caminos
40,29/11/2018,Programa 26
41,06/12/2018,Programa 27
42,13/12/2018,Programa 28
43,20/12/2018,Programa 29
