,Título
0,80 anos do Museu Nacional de Belas Artes RJ
1,Museu Nacional de belas artes Rio de Janeiro 11
2,Museu Nacional de belas artes Rio de Janeiro 01
3,Museu Nacional de belas artes Rio de Janeiro 08
4,Museu Nacional de belas artes Rio de Janeiro 04
5,Museu Nacional de belas artes Rio de Janeiro 12
6,Museu Nacional de belas artes Rio de Janeiro 08
7,"NPC - História Visita ao Museu Nacional de Belas Artes, Turma:1132"
8,MUSEU NACIONAL DE BELAS ARTES NO RIO
9,Trabalho de Alpinismo Industrial Museu Nacional de Belas Artes RJ
10,Museu Nacional de Belas Artes recebe exposição de obras-primas do Vaticano
11,ANIMAÇÃO EM FOCO - TROFÉU SETH CINEMA DE ANIMAÇÃO - MNBA -RJ
12,Dallier no Museu de Belas Artes - RJ
13,NEOCULTURA e MNBA_TVBrasil_JornalVisual
14,Reabertura da Galeria de Arte Brasileira Moderna e Contemporânea MNBA
15,Arquivo Sensível - MNBA
16,"MNBA no programa ""Paratodos"" - Tv Brasil"
17,Galeria de Arte Moderna e Contemporânea / MNBA - Programa Andante
18,Título: Finep doa acervo de 205 obras de Portinari para o Museu Nacional de Belas Artes
19,Exposição coloca dois mestres da pintura lado a lado no Museu Nacional de Belas Artes
20,Importante obra de Portinari é transferida para o Museu Nacional de Belas Artes no Rio
21,MUSEU DE BELAS ARTES (BLOCO 2)
22,MUSEU DE BELAS ARTES (BLOCO 1)
23,Cantos do Rio Museu Nacional de Belas Artes
24,Ferreira Gullar - Exposição 8 & 80 - Museu Nacional de Belas Artes
25,Museu Nacional de Belas Artes
26,Visita ao Museu Nacional de Belas Artes(MNBA) NPC de História
27,BONDE ALEGRIA - EXPOSIÇÕES MUSEU NACIONAL DE BELAS ARTES
28,Marc Chagall Museu Nacional de Belas Artes no Rio
29,Sergio Telles 2010 - Exposição no Museu Nacional de Belas Artes 0004
30,Galeria do Museu Nacional de Belas Artes reabre com acervo ampliado - Repórter Rio
31,Lançamento do Projeto de Modernização do Museu Nacional de Belas Artes PACCH
32,Exposição Pedalando Cores de Betto Pereira no Museu Nacional de Belas Artes
33,Museu Nacional de Belas Artes recebe exposição de obras-primas do Vaticano
34,Museu Nacional de Belas Artes exibe obras restauradas
35,Museu Nacional de Belas Artes - Galeria de Arte Brasileira do Séc. XIX - Programa Andante
36,Museu Nacional de Belas Artes do Rio recebe exposição
37,Conhecendo Museus - Série l - Museu Nacional de Belas Artes
38,Conhecendo Museus - Episódio 42: Museu Nacional de Belas Artes
39,Museu Nacional de Belas Artes - MNBA
40,Museu Nacional de Belas Artes - RJ
41,Museu Nacional de Belas Artes - Galeria de Arte Brasileira do Séc. XIX - Programa Andante
42,"Museu Nacional de Belas Artes (MNBA), Rio de Janeiro - Parte 2."
43,"Museu Nacional de Belas Artes (MNBA), no Rio de Janeiro - Parte 1"
44,Rio TV Câmara - Museu Nacional  de Belas Artes
45,Conhecendo Museus - Episódio 42: Museu Nacional de Belas Artes
