provider,url_provider,setSpec
UERJ,https://www.bdtd.uerj.br:8443/oai/request/,"com_1_3609,com_1_3634"
UFPB-JP,https://repositorio.ufpb.br/oai/request/,"col_tede_3881,col_tede_5443,col_123456789_12139,col_123456789_12994"
UNB,https://repositorio.unb.br/oai/request/,"com_10482_99,com_10482_105,com_10482_101,col_10482_40326,col_10482_872,col_10482_39982,col_10482_40131,col_10482_873,col_10482_40046,col_10482_874,col_10482_31326"
UNESP-REITORIA,https://repositorio.unesp.br/oai/request/,"com_11449_77151,com_11449_77154,com_11449_142814,col_11449_109332,col_11449_142815"
UNICAMP,http://repositorio.unicamp.br/oai/request/,com_REPOSIP_33
UNIRIO,http://www.repositorio-bc.unirio.br:8080/oai/request/,"com_unirio_12,com_unirio_92"
UEMG,http://www.repositorio.uemg.br/oai/request/,com_123456789_50
UFES,http://dspace3.ufes.br/oai/request/,"com_10_83,com_10_140,col_10_735,col_10_725,col_10_1000"
UFF,https://app.uff.br/oai/request/,"com_1_1831,col_1_5059,col_1_5060"
UFG,https://repositorio.bc.ufg.br/tede_oai/request/,"com_tde_189,com_tede_9155"
UFJF,https://repositorio.ufjf.br/oai/request/,"com_ufjf_27,col_ufjf_28"
UFMG,https://repositorio.ufmg.br/oai/request/,"com_1843_194,com_1843_34411,com_1843_222,col_1843_12613"
UFOP,https://www.repositorio.ufop.br/oai/request/,com_123456789_6492
UFPA,http://repositorio.ufpa.br/oai/request/,"com_2011_6805,com_2011_10400,col_2011_6806,col_2011_10401,col_2011_11380"
UFPE,https://repositorio.ufpe.br/oai/request/,"com_123456789_71,com_123456789_153,com_123456789_30211"
UFPEL,http://guaiaca.ufpel.edu.br/oai/request/,"com_123456789_237,com_123456789_238,com_123456789_240,com_123456789_241,col_123456789_245,col_123456789_330,col_123456789_333"
UFPR,https://acervodigital.ufpr.br/oai/request/,com_1884_39585
UFRGS,https://lume.ufrgs.br/oai/request/,"col_10183_80,col_10183_82,col_10183_12913"
UFRJ,https://pantheon.ufrj.br/oai/request/,"col_11422_99,col_11422_106,col_11422_1807,col_11422_4659,col_11422_4660"
UFRN,https://repositorio.ufrn.br/oai/request/,"com_123456789_11895,com_123456789_21665,com_123456789_20006,col_123456789_18269,col_123456789_11896,col_123456789_21666"
UFSM,https://repositorio.ufsm.br/oai/request/,col_1_2371
